--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
109.978  000.001  000.001: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
110.802  000.232  000.232: require('neoclip.settings')
110.804  000.822  000.590: require('neoclip')
110.819  000.010  000.010: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
111.379  000.351  000.351: sourcing /opt/homebrew/Cellar/neovim/0.11.5_1/share/nvim/runtime/plugin/editorconfig.lua
111.383  000.427  000.076: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
111.705  000.195  000.195: sourcing /opt/homebrew/Cellar/neovim/0.11.5_1/share/nvim/runtime/plugin/man.lua
111.709  000.323  000.128: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
113.456  000.777  000.777: sourcing /opt/homebrew/Cellar/neovim/0.11.5_1/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
113.471  001.682  000.905: sourcing /opt/homebrew/Cellar/neovim/0.11.5_1/share/nvim/runtime/plugin/matchit.vim
113.475  001.763  000.080: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
113.817  000.236  000.236: sourcing /opt/homebrew/Cellar/neovim/0.11.5_1/share/nvim/runtime/plugin/matchparen.vim
113.821  000.340  000.104: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
114.985  000.310  000.310: sourcing /opt/homebrew/Cellar/neovim/0.11.5_1/share/nvim/runtime/pack/dist/opt/netrw/plugin/netrwPlugin.vim
114.999  001.094  000.783: sourcing /opt/homebrew/Cellar/neovim/0.11.5_1/share/nvim/runtime/plugin/netrwPlugin.vim
115.003  001.178  000.085: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
115.409  000.302  000.302: sourcing /opt/homebrew/Cellar/neovim/0.11.5_1/share/nvim/runtime/plugin/osc52.lua
115.413  000.405  000.103: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
115.610  000.112  000.112: sourcing /opt/homebrew/Cellar/neovim/0.11.5_1/share/nvim/runtime/plugin/rplugin.vim
115.616  000.199  000.087: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
115.755  000.059  000.059: sourcing /opt/homebrew/Cellar/neovim/0.11.5_1/share/nvim/runtime/plugin/shada.vim
115.763  000.144  000.085: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
115.903  000.050  000.050: sourcing /opt/homebrew/Cellar/neovim/0.11.5_1/share/nvim/runtime/plugin/spellfile.vim
115.911  000.145  000.094: sourcing nvim_exec2() called at /Users/ahmed.rezk/dotfiles/nvim/init.lua:0
116.081  105.360  034.289: require('config.lazy')
116.083  105.609  000.249: sourcing /Users/ahmed.rezk/.config/nvim/init.lua
116.138  002.467: sourcing vimrc file(s)
116.753  000.079  000.079: sourcing /opt/homebrew/Cellar/neovim/0.11.5_1/share/nvim/runtime/filetype.lua
117.334  000.154  000.154: sourcing /opt/homebrew/Cellar/neovim/0.11.5_1/share/nvim/runtime/syntax/synload.vim
117.382  000.516  000.363: sourcing /opt/homebrew/Cellar/neovim/0.11.5_1/share/nvim/runtime/syntax/syntax.vim
117.392  000.658: inits 3
118.624  001.233: reading ShaDa
118.689  000.065: opening buffers
119.118  000.414  000.414: require('snacks.explorer')
119.129  000.026: BufEnter autocommands
119.130  000.001: editing files in windows
119.186  000.056: --- NVIM STARTED ---

